epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3665.53,0.58043,0.48136,0.84609,0.9988,1,0.995,0.90266,0.47709,0.44331,0.82531,0.0003764,0.0003764,0.0003764
84,3709.22,0.55717,0.47894,0.84055,0.99886,1,0.995,0.89557,0.49021,0.44342,0.82236,0.0003566,0.0003566,0.0003566
85,3752.81,0.60459,0.49083,0.85163,0.99894,1,0.995,0.89749,0.46075,0.44258,0.81762,0.0003368,0.0003368,0.0003368
86,3796.27,0.55894,0.4857,0.84476,0.99879,1,0.995,0.89316,0.47007,0.44645,0.81739,0.000317,0.000317,0.000317
87,3840.06,0.53617,0.46008,0.82773,0.99884,1,0.995,0.90643,0.44671,0.43762,0.81511,0.0002972,0.0002972,0.0002972
88,3883.67,0.55137,0.47166,0.85082,0.99912,1,0.995,0.90544,0.43101,0.44021,0.81321,0.0002774,0.0002774,0.0002774
89,3928.08,0.55016,0.46475,0.83625,0.9993,1,0.995,0.91194,0.42906,0.43879,0.81206,0.0002576,0.0002576,0.0002576
90,3971.84,0.55942,0.47494,0.8473,0.99967,1,0.995,0.92059,0.41375,0.42885,0.81016,0.0002378,0.0002378,0.0002378
91,4015.3,0.51981,0.51834,0.82291,0.99965,1,0.995,0.91964,0.42934,0.4308,0.81081,0.000218,0.000218,0.000218
92,4059.08,0.51872,0.49793,0.84309,0.99951,1,0.995,0.91961,0.4132,0.43916,0.81004,0.0001982,0.0001982,0.0001982
93,4105.87,0.48184,0.46721,0.82693,0.99933,1,0.995,0.91343,0.41436,0.44342,0.81,0.0001784,0.0001784,0.0001784
94,4151.51,0.47993,0.48022,0.80817,0.99944,1,0.995,0.91565,0.40703,0.44552,0.80898,0.0001586,0.0001586,0.0001586
95,4196.13,0.49324,0.48861,0.82766,0.99945,1,0.995,0.92342,0.39974,0.43792,0.80907,0.0001388,0.0001388,0.0001388
96,4242.99,0.48991,0.48713,0.82229,0.99942,1,0.995,0.92033,0.40014,0.42407,0.80845,0.000119,0.000119,0.000119
97,4290,0.50852,0.46893,0.84634,0.99942,1,0.995,0.91746,0.39536,0.4196,0.80776,9.92e-05,9.92e-05,9.92e-05
98,4336.96,0.52453,0.48901,0.83769,0.99941,1,0.995,0.9188,0.38988,0.41276,0.80685,7.94e-05,7.94e-05,7.94e-05
99,4406.28,0.4819,0.46226,0.84888,0.99941,1,0.995,0.91655,0.39775,0.41538,0.80709,5.96e-05,5.96e-05,5.96e-05
100,4455.89,0.45506,0.45919,0.80906,0.99941,1,0.995,0.91583,0.4045,0.41704,0.80703,3.98e-05,3.98e-05,3.98e-05
